Month,Frequency,,,,,,,,,,
1959-01,315.42,,,,,,,,,,
1959-02,316.31,,,,,,,,,,
1959-03,316.50,,,,,,,,,,
1959-04,317.56,,,,,,,,,,
1959-05,318.13,,,,,,,,,,
1959-06,318.00,,,,,,,,,,
1959-07,316.39,,,,,,,,,,
1959-08,314.65,,,,,,,,,,
1959-09,313.68,,,,,,,,,,
1959-10,313.18,,,,,,,,,,
1959-11,314.66,,,,,,,,,,
1959-12,315.43,,,,,,,,,,
1960-01,316.27,,,,,,,,,,
1960-02,316.81,,,,,,,,,,
1960-03,317.42,,,,,,,,,,
1960-04,318.87,,,,,,,,,,
1960-05,319.87,,,,,,,,,,
1960-06,319.43,,,,,,,,,,
1960-07,318.01,,,,,,,,,,
1960-08,315.74,,,,,,,,,,
1960-09,314.00,,,,,,,,,,
1960-10,313.68,,,,,,,,,,
1960-11,314.84,,,,,,,,,,
1960-12,316.03,,,,,,,,,,
1961-01,316.73,,,,,,,,,,
1961-02,317.54,,,,,,,,,,
1961-03,318.38,,,,,,,,,,
1961-04,319.31,,,,,,,,,,
1961-05,320.42,,,,,,,,,,
1961-06,319.61,,,,,,,,,,
1961-07,318.42,,,,,,,,,,
1961-08,316.63,,,,,,,,,,
1961-09,314.83,,,,,,,,,,
1961-10,315.16,,,,,,,,,,
1961-11,315.94,,,,,,,,,,
1961-12,316.85,,,,,,,,,,
1962-01,317.78,,,,,,,,,,
1962-02,318.40,,,,,,,,,,
1962-03,319.53,,,,,,,,,,
1962-04,320.42,,,,,,,,,,
1962-05,320.85,,,,,,,,,,
1962-06,320.45,,,,,,,,,,
1962-07,319.45,,,,,,,,,,
1962-08,317.25,,,,,,,,,,
1962-09,316.11,,,,,,,,,,
1962-10,315.27,,,,,,,,,,
1962-11,316.53,,,,,,,,,,
1962-12,317.53,,,,,,,,,,
1963-01,318.58,,,,,,,,,,
1963-02,318.92,,,,,,,,,,
1963-03,319.70,,,,,,,,,,
1963-04,321.22,,,,,,,,,,
1963-05,322.08,,,,,,,,,,
1963-06,321.31,,,,,,,,,,
1963-07,319.58,,,,,,,,,,
1963-08,317.61,,,,,,,,,,
1963-09,316.05,,,,,,,,,,
1963-10,315.83,,,,,,,,,,
1963-11,316.91,,,,,,,,,,
1963-12,318.20,,,,,,,,,,
1964-01,319.41,,,,,,,,,,
1964-02,320.07,,,,,,,,,,
1964-03,320.74,,,,,,,,,,
1964-04,321.40,,,,,,,,,,
1964-05,322.06,,,,,,,,,,
1964-06,321.73,,,,,,,,,,
1964-07,320.27,,,,,,,,,,
1964-08,318.54,,,,,,,,,,
1964-09,316.54,,,,,,,,,,
1964-10,316.71,,,,,,,,,,
1964-11,317.53,,,,,,,,,,
1964-12,318.55,,,,,,,,,,
1965-01,319.27,,,,,,,,,,
1965-02,320.28,,,,,,,,,,
1965-03,320.73,,,,,,,,,,
1965-04,321.97,,,,,,,,,,
1965-05,322.00,,,,,,,,,,
1965-06,321.71,,,,,,,,,,
1965-07,321.05,,,,,,,,,,
1965-08,318.71,,,,,,,,,,
1965-09,317.66,,,,,,,,,,
1965-10,317.14,,,,,,,,,,
1965-11,318.70,,,,,,,,,,
1965-12,319.25,,,,,,,,,,
1966-01,320.46,,,,,,,,,,
1966-02,321.43,,,,,,,,,,
1966-03,322.23,,,,,,,,,,
1966-04,323.54,,,,,,,,,,
1966-05,323.91,,,,,,,,,,
1966-06,323.59,,,,,,,,,,
1966-07,322.24,,,,,,,,,,
1966-08,320.20,,,,,,,,,,
1966-09,318.48,,,,,,,,,,
1966-10,317.94,,,,,,,,,,
1966-11,319.63,,,,,,,,,,
1966-12,320.87,,,,,,,,,,
1967-01,322.17,,,,,,,,,,
1967-02,322.34,,,,,,,,,,
1967-03,322.88,,,,,,,,,,
1967-04,324.25,,,,,,,,,,
1967-05,324.83,,,,,,,,,,
1967-06,323.93,,,,,,,,,,
1967-07,322.38,,,,,,,,,,
1967-08,320.76,,,,,,,,,,
1967-09,319.10,,,,,,,,,,
1967-10,319.24,,,,,,,,,,
1967-11,320.56,,,,,,,,,,
1967-12,321.80,,,,,,,,,,
1968-01,322.40,,,,,,,,,,
1968-02,322.99,,,,,,,,,,
1968-03,323.73,,,,,,,,,,
1968-04,324.86,,,,,,,,,,
1968-05,325.40,,,,,,,,,,
1968-06,325.20,,,,,,,,,,
1968-07,323.98,,,,,,,,,,
1968-08,321.95,,,,,,,,,,
1968-09,320.18,,,,,,,,,,
1968-10,320.09,,,,,,,,,,
1968-11,321.16,,,,,,,,,,
1968-12,322.74,,,,,,,,,,
1969-01,323.83,,,,,,,,,,
1969-02,324.26,,,,,,,,,,
1969-03,325.47,,,,,,,,,,
1969-04,326.50,,,,,,,,,,
1969-05,327.21,,,,,,,,,,
1969-06,326.54,,,,,,,,,,
